Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color
Certified,VS1,7.55,3.49,5.37,65.0,LabGrown,1.41,IGI,EXCELLENT,251.44,EXCELLENT,DIAP,EMERALD,1.41,EXCELLENT,E
Certified,VVS2,7.21,4.41,7.24,61.1,LabGrown,1.41,IGI,EXCELLENT,24957.72,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VS1,7.28,4.33,7.3,59.4,LabGrown,1.41,IGI,EXCELLENT,347.85,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,E
Certified,VS1,7.18,4.43,7.2,61.6,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VVS1,7.24,4.39,7.26,60.6,LabGrown,1.41,GIA,EXCELLENT,754.72,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,D
Certified,VS1,6.29,3.95,8.87,62.8,LabGrown,1.41,IGI,EXCELLENT,278.09,EXCELLENT,DIAP,OVAL,0.71,EXCELLENT,G
Certified,VS2,7.17,4.44,7.14,62.1,LabGrown,1.41,IGI,EXCELLENT,312.85,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,G
Certified,VVS2,7.15,4.43,7.18,61.9,LabGrown,1.41,IGI,EXCELLENT,619.1,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,D
Certified,VVS2,7.15,4.42,7.2,61.6,LabGrown,1.41,IGI,EXCELLENT,619.1,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,D
Certified,VS1,7.23,4.41,7.25,60.9,LabGrown,1.41,IGI,EXCELLENT,350.51,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VVS2,6.57,3.96,6.54,60.6,LabGrown,1.41,IGI,EXCELLENT,360.07,EXCELLENT,DIAP,CUSHION,1.0,EXCELLENT,D
Certified,VS1,6.47,4.3,6.41,67.1,LabGrown,1.41,GIA,EXCELLENT,350.51,EXCELLENT,DIAP,CUSHION,1.01,EXCELLENT,E
Certified,VS1,10.08,3.88,6.21,62.5,LabGrown,1.41,IGI,EXCELLENT,260.71,EXCELLENT,DIAP,PEAR,1.62,EXCELLENT,E
Certified,VS2,10.09,3.92,6.33,61.9,LabGrown,1.41,IGI,EXCELLENT,254.92,EXCELLENT,DIAP,PEAR,1.59,EXCELLENT,E
Certified,VVS2,7.67,3.38,5.09,66.4,LabGrown,1.41,IGI,EXCELLENT,288.98,EXCELLENT,DIAP,EMERALD,1.51,EXCELLENT,G
Certified,VS1,7.2,4.4,7.25,60.8,LabGrown,1.41,IGI,EXCELLENT,319.81,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,F
Certified,VS1,8.01,3.74,5.36,69.8,LabGrown,1.41,IGI,EXCELLENT,260.71,EXCELLENT,DIAP,RADIANT,1.49,EXCELLENT,E
Certified,VVS2,9.79,3.86,6.29,61.4,LabGrown,1.41,IGI,EXCELLENT,269.4,EXCELLENT,DIAP,PEAR,1.56,EXCELLENT,F
Certified,VS1,8.94,3.96,6.5,60.9,LabGrown,1.41,IGI,EXCELLENT,395.93,EXCELLENT,DIAP,OVAL,1.38,EXCELLENT,D
Certified,VVS1,9.22,3.95,6.32,62.5,LabGrown,1.41,IGI,EXCELLENT,390.53,EXCELLENT,DIAP,OVAL,1.46,EXCELLENT,D
Certified,VS1,7.2,4.45,7.21,61.7,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VS1,7.22,4.42,7.25,61.2,LabGrown,1.41,IGI,EXCELLENT,336.03,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VS2,7.23,4.43,7.26,61.2,LabGrown,1.41,IGI,EXCELLENT,333.13,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VS1,9.12,3.89,6.41,60.7,LabGrown,1.41,IGI,EXCELLENT,370.79,EXCELLENT,DIAP,OVAL,1.42,EXCELLENT,E
Certified,VS1,7.23,4.51,7.29,62.4,LabGrown,1.41,IGI,EXCELLENT,347.62,EXCELLENT,DIAP,HEART,0.99,EXCELLENT,E
Certified,VVS2,9.09,3.91,6.36,61.5,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,OVAL,1.43,EXCELLENT,E
