Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color,combined_text
certified,vs1,7.18,4.37,7.22,60.7,labgrown,1.41,igi,excellent,321.54,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 321.54, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.13,4.46,7.16,62.3,labgrown,1.41,igi,excellent,390.63,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 390.63, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.21,4.36,7.23,60.4,labgrown,1.41,igi,excellent,391.76,excellent,diap,round,1.0,ideal,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: ideal, Shape: round, Price: 391.76, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.1,4.45,7.15,62.5,labgrown,1.41,igi,excellent,324.44,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: ideal, Shape: round, Price: 324.44, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs1,7.01,4.43,7.86,56.4,labgrown,1.41,igi,excellent,439.22,excellent,diap,heart,0.89,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: d, Cut: excellent, Shape: heart, Price: 439.22, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.54,3.81,6.29,60.6,labgrown,1.41,igi,very good,273.83,very good,diap,cushion,1.04,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: cushion, Price: 273.83, Lab: igi, Polish: very good, Symmetry: very good"
certified,vs1,11.82,3.65,5.8,62.9,labgrown,1.41,igi,excellent,289.68,excellent,diap,marquise,2.04,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: marquise, Price: 289.68, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,if,9.57,3.95,6.35,62.2,labgrown,1.41,igi,excellent,655.53,excellent,diap,pear,1.51,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: if, Color: d, Cut: excellent, Shape: pear, Price: 655.53, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.17,4.44,7.18,61.9,labgrown,1.41,igi,excellent,360.59,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 360.59, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,8.08,3.74,5.59,66.9,labgrown,1.41,igi,excellent,348.66,excellent,diap,radiant,1.45,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: radiant, Price: 348.66, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,if,8.1,3.73,5.36,69.6,labgrown,1.41,igi,excellent,442.92,excellent,diap,radiant,1.51,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: if, Color: d, Cut: excellent, Shape: radiant, Price: 442.92, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.49,4.34,6.47,67.1,labgrown,1.41,igi,excellent,310.54,excellent,diap,cushion,1.0,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: cushion, Price: 310.54, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.19,4.45,7.15,62.1,labgrown,1.41,igi,excellent,285.04,excellent,diap,round,1.01,ideal,f,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: f, Cut: ideal, Shape: round, Price: 285.04, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,8.15,3.58,5.51,65.0,labgrown,1.41,igi,excellent,376.47,excellent,diap,radiant,1.48,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: d, Cut: excellent, Shape: radiant, Price: 376.47, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,if,7.95,3.76,5.59,67.3,labgrown,1.41,igi,excellent,509.86,excellent,diap,radiant,1.42,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: if, Color: e, Cut: excellent, Shape: radiant, Price: 509.86, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.31,3.75,5.37,69.8,labgrown,1.41,igi,excellent,399.64,excellent,diap,radiant,1.55,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: radiant, Price: 399.64, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.29,4.4,7.24,60.6,labgrown,1.41,igi,excellent,390.88,excellent,diap,round,1.01,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: ideal, Shape: round, Price: 390.88, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,9.06,3.96,6.28,63.1,labgrown,1.41,igi,excellent,305.47,excellent,diap,oval,1.44,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: d, Cut: excellent, Shape: oval, Price: 305.47, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.96,4.54,7.79,58.3,labgrown,1.41,igi,excellent,402.18,excellent,diap,heart,0.89,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: heart, Price: 402.18, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.26,4.37,7.31,60.1,labgrown,1.41,igi,excellent,333.13,excellent,diap,round,0.99,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: ideal, Shape: round, Price: 333.13, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,si1,9.97,3.88,6.14,63.2,labgrown,1.41,igi,excellent,304.16,excellent,diap,pear,1.62,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: si1, Color: d, Cut: excellent, Shape: pear, Price: 304.16, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.12,4.45,7.13,62.5,labgrown,1.41,gia,very good,463.03,excellent,diap,round,1.0,very good,d,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: d, Cut: very good, Shape: round, Price: 463.03, Lab: gia, Polish: very good, Symmetry: excellent"
certified,vvs2,8.13,3.59,5.55,64.6,labgrown,1.41,gia,excellent,489.49,very good,diap,radiant,1.46,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: g, Cut: excellent, Shape: radiant, Price: 489.49, Lab: gia, Polish: excellent, Symmetry: very good"
certified,vs1,7.49,3.94,5.62,70.1,labgrown,1.41,igi,very good,329.95,excellent,diap,radiant,1.33,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: radiant, Price: 329.95, Lab: igi, Polish: very good, Symmetry: excellent"
certified,vs1,6.15,4.25,5.88,72.3,labgrown,1.41,igi,excellent,228.38,very good,diap,princess,1.05,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: princess, Price: 228.38, Lab: igi, Polish: excellent, Symmetry: very good"
certified,vs1,7.85,3.65,5.6,65.2,labgrown,1.41,igi,excellent,312.51,excellent,diap,radiant,1.4,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: radiant, Price: 312.51, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.22,4.04,6.12,66.1,labgrown,1.41,gia,excellent,643.2,very good,diap,asscher,1.02,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: asscher, Price: 643.2, Lab: gia, Polish: excellent, Symmetry: very good"
certified,vs1,7.96,3.77,5.49,68.7,labgrown,1.41,igi,excellent,424.35,excellent,diap,radiant,1.45,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: radiant, Price: 424.35, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,8.09,3.6,5.67,63.5,labgrown,1.41,igi,excellent,455.78,excellent,diap,radiant,1.43,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: g, Cut: excellent, Shape: radiant, Price: 455.78, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,5.47,3.6,7.97,65.8,labgrown,1.41,igi,excellent,387.48,excellent,diap,radiant,0.69,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: radiant, Price: 387.48, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.1,4.17,6.18,68.4,labgrown,1.41,igi,excellent,304.16,excellent,diap,princess,0.99,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: princess, Price: 304.16, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.93,3.95,6.54,60.4,labgrown,1.41,igi,excellent,268.82,excellent,diap,oval,1.37,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: oval, Price: 268.82, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,6.18,4.36,6.16,70.8,labgrown,1.41,igi,very good,387.94,very good,diap,princess,1.0,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: excellent, Shape: princess, Price: 387.94, Lab: igi, Polish: very good, Symmetry: very good"
certified,vs1,7.57,3.61,5.33,67.7,labgrown,1.41,igi,excellent,274.79,excellent,diap,emerald,1.42,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 274.79, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.41,3.68,5.29,69.6,labgrown,1.41,igi,excellent,274.79,excellent,diap,emerald,1.4,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 274.79, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.78,3.49,5.12,68.2,labgrown,1.41,igi,excellent,274.79,excellent,diap,emerald,1.52,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 274.79, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.18,4.41,7.24,61.2,labgrown,1.41,gia,excellent,669.76,excellent,diap,round,0.99,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: round, Price: 669.76, Lab: gia, Polish: excellent, Symmetry: excellent"
certified,vs2,9.37,3.82,6.39,59.8,labgrown,1.41,igi,excellent,422.92,excellent,diap,oval,1.47,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: excellent, Shape: oval, Price: 422.92, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,if,6.15,4.06,6.13,66.2,labgrown,1.41,igi,excellent,467.53,excellent,diap,asscher,1.0,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: if, Color: d, Cut: excellent, Shape: asscher, Price: 467.53, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.67,4.26,6.51,65.4,labgrown,1.41,igi,excellent,319.23,excellent,diap,cushion,1.02,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: cushion, Price: 319.23, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.83,3.77,5.57,67.7,labgrown,1.41,igi,excellent,329.8,excellent,diap,radiant,1.41,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: radiant, Price: 329.8, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.94,3.91,6.41,61.0,labgrown,1.41,igi,excellent,268.82,excellent,diap,oval,1.39,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: oval, Price: 268.82, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.23,4.41,7.19,61.3,labgrown,1.41,igi,excellent,390.88,excellent,diap,round,1.01,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: ideal, Shape: round, Price: 390.88, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.95,3.98,6.32,63.0,labgrown,1.41,igi,excellent,388.23,excellent,diap,oval,1.42,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: oval, Price: 388.23, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.61,4.33,6.52,66.4,labgrown,1.41,igi,excellent,319.23,excellent,diap,cushion,1.01,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: cushion, Price: 319.23, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,11.38,3.69,5.83,63.3,labgrown,1.41,igi,excellent,289.68,excellent,diap,marquise,1.95,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: marquise, Price: 289.68, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.23,4.32,6.03,71.6,labgrown,1.41,igi,excellent,318.07,excellent,diap,princess,1.03,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: princess, Price: 318.07, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.14,4.44,7.18,62.0,labgrown,1.41,igi,excellent,330.23,excellent,diap,round,0.99,ideal,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: ideal, Shape: round, Price: 330.23, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.93,4.5,7.8,57.7,labgrown,1.41,igi,excellent,444.4,excellent,diap,heart,0.89,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: heart, Price: 444.4, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.12,4.35,7.74,56.2,labgrown,1.41,igi,excellent,405.75,excellent,diap,heart,0.92,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: heart, Price: 405.75, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.8,3.99,6.4,62.3,labgrown,1.41,gia,excellent,696.83,excellent,diap,oval,1.38,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: oval, Price: 696.83, Lab: gia, Polish: excellent, Symmetry: excellent"
certified,if,6.85,4.55,7.68,59.2,labgrown,1.41,igi,excellent,467.53,excellent,diap,heart,0.89,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: if, Color: d, Cut: excellent, Shape: heart, Price: 467.53, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.72,4.59,7.78,59.0,labgrown,1.41,igi,excellent,352.25,excellent,diap,heart,0.86,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: heart, Price: 352.25, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.27,4.41,7.24,60.8,labgrown,1.41,igi,very good,265.93,excellent,diap,round,1.0,ideal,g,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: g, Cut: ideal, Shape: round, Price: 265.93, Lab: igi, Polish: very good, Symmetry: excellent"
certified,vs1,7.13,4.34,7.18,60.6,labgrown,1.41,igi,very good,336.03,very good,diap,round,0.99,very good,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: very good, Shape: round, Price: 336.03, Lab: igi, Polish: very good, Symmetry: very good"
certified,vs2,7.03,4.53,7.09,64.2,labgrown,1.41,igi,excellent,336.03,very good,diap,round,0.99,very good,f,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: f, Cut: very good, Shape: round, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: very good"
certified,vs2,7.19,4.4,7.23,61.0,labgrown,1.41,igi,excellent,336.03,excellent,diap,round,0.99,ideal,f,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: f, Cut: ideal, Shape: round, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,10.0,3.84,6.29,61.0,labgrown,1.41,igi,excellent,304.16,excellent,diap,pear,1.59,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: d, Cut: excellent, Shape: pear, Price: 304.16, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.17,4.47,7.11,62.6,labgrown,1.41,igi,excellent,390.88,excellent,diap,round,1.01,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: round, Price: 390.88, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.74,3.67,5.89,62.3,labgrown,1.41,igi,excellent,245.59,excellent,diap,cushion,1.31,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: excellent, Shape: cushion, Price: 245.59, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.3,3.86,9.82,61.3,labgrown,1.41,igi,excellent,347.27,excellent,diap,pear,0.64,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: pear, Price: 347.27, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.25,4.4,7.27,60.5,labgrown,1.41,igi,excellent,333.13,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: ideal, Shape: round, Price: 333.13, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,10.33,3.84,6.25,61.4,labgrown,1.41,igi,excellent,324.44,excellent,diap,pear,1.65,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: pear, Price: 324.44, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.67,3.61,5.53,65.3,labgrown,1.41,igi,excellent,275.14,excellent,diap,emerald,1.39,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 275.14, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.21,4.42,7.25,61.2,labgrown,1.41,igi,excellent,360.59,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 360.59, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,8.02,3.44,5.41,63.6,labgrown,1.41,igi,excellent,377.16,excellent,diap,emerald,1.48,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 377.16, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.8,4.55,7.03,58.3,labgrown,1.41,igi,excellent,405.64,excellent,diap,heart,1.11,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: heart, Price: 405.64, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.29,3.56,5.25,67.8,labgrown,1.41,igi,excellent,301.27,excellent,diap,emerald,1.39,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: emerald, Price: 301.27, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.17,4.42,6.16,71.8,labgrown,1.41,igi,excellent,456.47,excellent,diap,princess,1.0,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: princess, Price: 456.47, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs1,7.15,4.46,7.21,62.1,labgrown,1.41,igi,very good,405.55,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: d, Cut: ideal, Shape: round, Price: 405.55, Lab: igi, Polish: very good, Symmetry: excellent"
certified,vvs1,7.1,4.46,7.15,62.5,labgrown,1.41,igi,excellent,405.55,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: d, Cut: ideal, Shape: round, Price: 405.55, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.19,4.44,7.22,61.7,labgrown,1.41,igi,excellent,318.65,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 318.65, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.15,4.44,7.18,61.9,labgrown,1.41,igi,excellent,318.65,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 318.65, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.16,4.47,7.19,62.3,labgrown,1.41,igi,excellent,312.85,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: ideal, Shape: round, Price: 312.85, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.58,4.22,6.37,66.2,labgrown,1.41,igi,excellent,381.04,excellent,diap,cushion,1.03,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: cushion, Price: 381.04, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.28,4.41,7.24,60.7,labgrown,1.41,igi,excellent,341.88,excellent,diap,round,1.01,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: round, Price: 341.88, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.28,4.24,6.08,69.7,labgrown,1.41,igi,excellent,289.82,excellent,diap,princess,1.03,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: princess, Price: 289.82, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.11,4.28,6.08,70.4,labgrown,1.41,igi,excellent,383.87,excellent,diap,princess,1.0,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: princess, Price: 383.87, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,11.84,3.64,5.75,63.3,labgrown,1.41,igi,excellent,400.27,excellent,diap,marquise,2.06,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: marquise, Price: 400.27, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.59,3.44,5.37,64.1,labgrown,1.41,igi,excellent,241.94,very good,diap,emerald,1.41,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: emerald, Price: 241.94, Lab: igi, Polish: excellent, Symmetry: very good"
certified,vs1,9.34,3.89,6.24,62.3,labgrown,1.41,igi,excellent,412.84,excellent,diap,oval,1.5,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: oval, Price: 412.84, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.11,4.18,5.91,70.7,labgrown,1.41,igi,excellent,310.42,excellent,diap,princess,1.03,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: princess, Price: 310.42, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs1,6.03,4.36,5.98,72.9,labgrown,1.41,igi,excellent,396.88,excellent,diap,princess,1.01,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: e, Cut: excellent, Shape: princess, Price: 396.88, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.13,4.26,5.81,73.3,labgrown,1.41,igi,excellent,283.65,excellent,diap,princess,1.06,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: excellent, Shape: princess, Price: 283.65, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.25,4.13,6.1,67.7,labgrown,1.41,igi,excellent,287.25,excellent,diap,princess,1.02,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: princess, Price: 287.25, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,6.1,4.18,5.96,70.1,labgrown,1.41,igi,excellent,258.1,excellent,diap,princess,1.02,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: excellent, Shape: princess, Price: 258.1, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.15,4.39,7.2,61.3,labgrown,1.41,igi,excellent,390.63,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 390.63, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,5.97,4.26,6.15,71.4,labgrown,1.41,igi,excellent,333.19,excellent,diap,princess,0.97,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: princess, Price: 333.19, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.11,4.44,7.15,62.2,labgrown,1.41,igi,excellent,390.63,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 390.63, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,if,7.35,3.68,5.35,68.8,labgrown,1.41,igi,excellent,1195.33,excellent,diap,emerald,1.37,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: if, Color: d, Cut: excellent, Shape: emerald, Price: 1195.33, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs1,7.25,4.36,7.29,60.0,labgrown,1.41,igi,excellent,362.1,excellent,diap,round,0.99,ideal,g,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: g, Cut: ideal, Shape: round, Price: 362.1, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.59,4.33,6.49,66.7,labgrown,1.41,igi,excellent,391.88,excellent,diap,cushion,1.02,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: cushion, Price: 391.88, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,6.96,4.51,7.66,58.9,labgrown,1.41,igi,excellent,361.61,excellent,diap,heart,0.91,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: d, Cut: excellent, Shape: heart, Price: 361.61, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.46,4.26,6.45,66.0,labgrown,1.41,igi,excellent,403.7,excellent,diap,cushion,1.0,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: cushion, Price: 403.7, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.15,4.4,7.17,61.5,labgrown,1.41,igi,excellent,315.75,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 315.75, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.13,4.32,5.9,73.2,labgrown,1.41,igi,excellent,265.81,excellent,diap,princess,1.04,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: princess, Price: 265.81, Lab: igi, Polish: excellent, Symmetry: excellent"
