Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color,combined_text
certified,vs1,7.74,4.06,5.95,68.2,labgrown,1.41,igi,excellent,280.99,excellent,diap,cushion,1.3,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: cushion, Price: 280.99, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,11.37,3.69,5.83,63.3,labgrown,1.41,igi,excellent,289.68,excellent,diap,marquise,1.95,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: marquise, Price: 289.68, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,9.08,3.9,6.45,60.5,labgrown,1.41,igi,excellent,298.37,excellent,diap,oval,1.41,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: f, Cut: excellent, Shape: oval, Price: 298.37, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.25,4.38,7.27,60.4,labgrown,1.41,igi,excellent,385.27,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 385.27, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,9.33,3.8,6.47,58.7,labgrown,1.41,igi,excellent,295.47,excellent,diap,oval,1.44,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: excellent, Shape: oval, Price: 295.47, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,11.57,3.63,5.8,62.6,labgrown,1.41,igi,excellent,292.58,excellent,diap,marquise,1.99,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: marquise, Price: 292.58, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.05,4.46,7.09,63.1,labgrown,1.41,igi,excellent,347.96,excellent,diap,round,0.99,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: excellent, Shape: round, Price: 347.96, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.16,4.45,7.19,62.0,labgrown,1.41,igi,excellent,341.82,excellent,diap,round,1.0,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 341.82, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.18,4.42,7.14,61.8,labgrown,1.41,igi,excellent,320.73,excellent,diap,round,1.01,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 320.73, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.12,4.48,7.08,63.1,labgrown,1.41,igi,excellent,320.73,excellent,diap,round,1.01,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: round, Price: 320.73, Lab: igi, Polish: excellent, Symmetry: excellent"
